title,milestone,labels,body
"EPIC 1 — Foundation & Infrastructure","Phase 1 — Foundation","epic,phase-1","## Goal\nA running containerized skeleton that every subsequent issue builds on. Security controls established from day one.\n\n### Issues in this Epic\n- [ ] #1.1 Initialize Monorepo Structure\n- [ ] #1.2 Configure GitHub Actions CI Pipeline\n- [ ] #1.3 Docker & Docker Compose Setup\n- [ ] #1.4 FastAPI Backend Skeleton\n- [ ] #1.5 React Frontend Shell\n- [ ] #1.6 Draft System Security Plan (SSP)\n- [ ] #1.7 Define Data Flow & Trust Boundary Documentation"
"Initialize Monorepo Structure","Phase 1 — Foundation","phase-1,devops,priority-critical","## Description\nSet up the repository layout so all teams can work in parallel without stepping on each other.\n\n## Acceptance Criteria\n- [ ] Root contains `/frontend`, `/backend`, `/docs`, `/docker`, `/tests`, `.github/`\n- [ ] `.gitignore` excludes `node_modules/`, `__pycache__/`, `.env`, `*.pyc`, label images\n- [ ] `README.md` at root with one-command setup instructions\n- [ ] `CODEOWNERS` file assigning review ownership per directory\n- [ ] Branch protection enabled on `main`: require 1 approval + passing CI before merge\n\n## FedRAMP Controls\nCM-2 (Baseline Configuration), CM-6 (Configuration Settings)"
"Configure GitHub Actions CI Pipeline","Phase 1 — Foundation","phase-1,devops,security,fedramp,fedramp-si,priority-critical","## Description\nEvery push must trigger automated checks. This is the enforcement gate for code quality and security.\n\n## Acceptance Criteria\n- [ ] `.github/workflows/ci.yml` runs on every PR and push to `main`\n- [ ] Python backend: `pytest`, `bandit` (SAST), `pip-audit` (SCA)\n- [ ] JS frontend: `eslint` with `eslint-plugin-security`, `npm audit`\n- [ ] Docker: `docker build` succeeds, `trivy` image scan with no CRITICAL CVEs\n- [ ] Status checks block merge on failure\n- [ ] Secrets never logged; `ANTHROPIC_API_KEY` injected via GitHub Secrets only\n- [ ] SARIF results exported to GitHub Security tab\n\n## FedRAMP Controls\nSI-3 (Malicious Code Protection), CM-3 (Configuration Change Control), SA-11 (Developer Testing)"
"Docker & Docker Compose Setup","Phase 1 — Foundation","phase-1,devops,priority-critical","## Description\nThe entire system must start with a single command for deployment in the government environment.\n\n## Acceptance Criteria\n- [ ] `docker-compose.yml` starts frontend + backend with `docker-compose up`\n- [ ] `Dockerfile` for backend: Python 3.11-slim, pinned dependency versions, non-root user\n- [ ] `Dockerfile` for frontend: Node 20-alpine, multi-stage build, static files via nginx\n- [ ] All images use digest-pinned base images (e.g., `python:3.11-slim@sha256:...`)\n- [ ] `.env.example` documents all required env vars; `.env` is gitignored\n- [ ] `docker-compose up` produces working app at `http://localhost:3000` within 60 seconds\n\n## FedRAMP Controls\nCM-7 (Least Functionality), SC-28 (Protection of Information at Rest)"
"FastAPI Backend Skeleton","Phase 1 — Foundation","phase-1,backend,priority-critical","## Description\nStand up the API with its full route surface defined — even if handlers return stubs.\n\n## Acceptance Criteria\n- [ ] `GET /health` returns `{status: ok, version: x.y.z}`\n- [ ] `POST /verify` accepts `{image: base64, application_data: {...}}`, returns stub\n- [ ] `POST /verify/batch` accepts multipart form with images + CSV, returns `{job_id}`\n- [ ] `GET /jobs/{job_id}/status` returns batch progress\n- [ ] `GET /jobs/{job_id}/results` returns completed results\n- [ ] `GET /jobs/{job_id}/export` returns CSV file\n- [ ] OpenAPI docs auto-generated at `/docs`\n- [ ] Request/response models defined with Pydantic\n- [ ] 413 returned for images > 20MB; 415 for non-image content types\n\n## FedRAMP Controls\nSI-10 (Information Input Validation), SC-8 (Transmission Confidentiality)"
"React Frontend Shell","Phase 1 — Foundation","phase-1,frontend,priority-critical","## Description\nThe UI shell with routing and layout. Design system initialized with accessibility defaults.\n\n## Acceptance Criteria\n- [ ] Single-page app with React 18 + Vite\n- [ ] Tailwind CSS configured with accessible color palette (WCAG AA contrast ratios)\n- [ ] Pages: `/` (Upload), `/results/:sessionId` (Review), `/batch` (Batch Upload)\n- [ ] Global error boundary prevents blank white screens\n- [ ] Loading states defined for all async operations\n- [ ] `<title>` and `<lang>` set correctly for screen readers\n- [ ] Connects to backend via `VITE_API_URL` env var\n\n## FedRAMP Controls\nAC-17 (Remote Access)"
"Draft System Security Plan (SSP)","Phase 1 — Foundation","phase-1,fedramp,fedramp-ra,documentation,priority-critical","## Description\nThe SSP is the primary FedRAMP artifact. Must be started in Phase 1 while architecture is being built.\n\n## Acceptance Criteria\n- [ ] `/docs/fedramp/SSP-draft.md` created with NIST 800-53r5 template structure\n- [ ] System boundary diagram included (reference ADR-001 architecture diagram)\n- [ ] Data types inventory: label images, application metadata, extracted fields, match results\n- [ ] PII handling declared: Name & Address field classified as PII; ephemeral handling described\n- [ ] System categorization justified: Moderate (C=M, I=M, A=M) per FIPS 199\n- [ ] All external connections documented: Claude Vision API, Tesseract (local)\n- [ ] Control families AC, AU, CM, IA, SC, SI mapped to implementation notes\n\n## FedRAMP Controls\nPL-2 (System Security Plan), RA-2 (Security Categorization)"
"Define Data Flow & Trust Boundary Documentation","Phase 1 — Foundation","phase-1,fedramp,fedramp-sc,documentation,priority-high","## Description\nFormal data flow documentation for FedRAMP package showing what data crosses which boundaries.\n\n## Acceptance Criteria\n- [ ] `/docs/fedramp/DATA-FLOW.md` created\n- [ ] All data flows documented: Reviewer → UI → API → OCR Engine → External API\n- [ ] Trust boundaries explicitly labeled: internal (container network), external (vision API)\n- [ ] Data classification at each boundary documented\n- [ ] Encryption in transit confirmed: HTTPS/TLS 1.2+ for all external calls\n- [ ] No data-at-rest paths confirmed and documented\n- [ ] References ADR-001 data flow diagram\n\n## FedRAMP Controls\nSC-8 (Transmission Confidentiality and Integrity), AC-4 (Information Flow Enforcement)"
"EPIC 2 — Core AI Intelligence","Phase 2 — Core Intelligence","epic,phase-2","## Goal\nA working OCR + matching pipeline that correctly extracts all 6 required label fields and applies the right matching rules for each.\n\n### Issues in this Epic\n- [ ] #2.1 Implement OCR Adapter (Claude Vision + Tesseract Fallback)\n- [ ] #2.2 Implement Image Quality Assessment\n- [ ] #2.3 Implement Field Parser\n- [ ] #2.4 Implement Fuzzy Matching Engine\n- [ ] #2.5 Implement Government Warning Exact Validator\n- [ ] #2.6 Integrate SAST and Dependency Scanning\n- [ ] #2.7 Implement Structured Audit Logging"
"Implement OCR Adapter (Claude Vision + Tesseract Fallback)","Phase 2 — Core Intelligence","phase-2,backend,ai-ml,priority-critical","## Description\nThe OCR adapter is the system's most critical component. Must work in firewalled environment via Tesseract fallback.\n\n## Acceptance Criteria\n- [ ] `backend/ocr/adapter.py` — single `extract_fields(image_bytes) → ExtractedFields` interface\n- [ ] Primary path: calls Claude Vision API with structured extraction prompt\n- [ ] Fallback path: catches `ConnectionError`/`TimeoutError`, runs Tesseract locally\n- [ ] Fallback activates within 3 seconds of first timeout\n- [ ] `ExtractedFields` dataclass contains all 7 fields + `confidence_score` + `ocr_engine_used`\n- [ ] API key loaded from env var only — never hardcoded\n- [ ] Unit tests: mock API success, mock API timeout (triggers fallback), malformed image\n\n## FedRAMP Controls\nSA-9 (External System Services), SC-8 (Transmission Confidentiality)"
"Implement Image Quality Assessment","Phase 2 — Core Intelligence","phase-2,backend,ai-ml,priority-high","## Description\nAssess image quality and pre-process with OpenCV. Return confidence scores rather than silently failing.\n\n## Acceptance Criteria\n- [ ] `backend/ocr/quality.py` returns `ImageQualityReport {score: 0-100, issues: []}`\n- [ ] Detected issues: `low_resolution`, `excessive_glare`, `skewed_angle`, `partial_obstruction`, `blurry`\n- [ ] OpenCV pre-processing: deskew, denoise, contrast enhancement\n- [ ] Quality score attached to every `VerificationResult`\n- [ ] If score < 40, result flagged with `low_confidence` warning in UI\n- [ ] System does not reject images — degrades gracefully with lower confidence scores\n- [ ] Unit tests: pristine image (>80), simulated glare (40-70), very dark image (<40)\n\n## FedRAMP Controls\nSI-10 (Information Input Validation)"
"Implement Field Parser","Phase 2 — Core Intelligence","phase-2,backend,ai-ml,priority-critical","## Description\nRaw OCR output must be parsed into the 6 structured fields required by TTB.\n\n## Acceptance Criteria\n- [ ] `backend/ocr/parser.py` maps raw OCR text to `ExtractedFields`\n- [ ] Brand Name: extracted from first prominent text block\n- [ ] Class/Type: extracted via keyword proximity (VODKA, WHISKEY, ALE, etc.)\n- [ ] ABV/Proof: regex for `XX% Alc. by Vol.` and `XX Proof` patterns\n- [ ] Net Contents: regex for XXXmL, XX fl oz, X L with unit normalization\n- [ ] Name & Address: extracted from bottom-of-label text block\n- [ ] Country of Origin: `Product of X` / `Made in X` pattern matching\n- [ ] Government Warning: extracted as full verbatim block starting with GOVERNMENT WARNING\n- [ ] Unit tests for each field with realistic OCR output examples\n\n## FedRAMP Controls\nSI-10 (Information Input Validation)"
"Implement Fuzzy Matching Engine","Phase 2 — Core Intelligence","phase-2,backend,ai-ml,priority-critical","## Description\nCompares extracted label fields against application data using per-field rules (fuzzy vs. exact).\n\n## Acceptance Criteria\n- [ ] `backend/matching/engine.py` — `compare(extracted, application_data) → MatchReport`\n- [ ] RapidFuzz `token_sort_ratio` for: Brand (≥90%), Class/Type (≥85%), Name & Address (≥80%), Country of Origin (≥90%)\n- [ ] Numeric tolerance: ABV (±0.5%), Net Contents (±1% after unit normalization)\n- [ ] Status per field: `MATCH` / `PARTIAL_MATCH` / `NO_MATCH`\n- [ ] Overall status: `MATCH` / `PARTIAL` / `FAIL`\n- [ ] Discrepancy detail: `{extracted, expected, score}` for each failed field\n- [ ] Unit tests: exact match (all MATCH), minor variation (PARTIAL), wrong values (NO MATCH)\n\n## FedRAMP Controls\nSI-10 (Information Input Validation)"
"Implement Government Warning Exact Validator","Phase 2 — Core Intelligence","phase-2,backend,priority-critical","## Description\nGovernment Warning is legally mandated verbatim text — must be exact word-for-word match, no fuzzy tolerance.\n\n## Acceptance Criteria\n- [ ] `backend/matching/exact_validator.py` validates Government Warning independently\n- [ ] Word-for-word comparison after whitespace normalization\n- [ ] Verifies GOVERNMENT WARNING prefix is ALL-CAPS\n- [ ] Returns: `{valid, issues[], extracted_text, expected_text}`\n- [ ] Issues: `WRONG_TEXT`, `MISSING_PREFIX`, `LOWERCASE_PREFIX`, `EXTRA_TEXT`, `MISSING_TEXT`\n- [ ] Any issue → field status `NO_MATCH` regardless of similarity score\n- [ ] Unit tests: correct warning (valid), lowercase prefix (invalid), wrong text (invalid), extra words (invalid)\n\n## FedRAMP Controls\nSI-7 (Software, Firmware, and Information Integrity)"
"Integrate SAST and Dependency Scanning","Phase 2 — Core Intelligence","phase-2,fedramp,fedramp-si,security,devops,priority-critical","## Description\nFedRAMP SI-3 and SA-11 require automated code scanning integrated into CI — not a manual step.\n\n## Acceptance Criteria\n- [ ] `bandit` (Python SAST) runs in CI; HIGH severity findings block merge\n- [ ] `pip-audit` or `safety` runs in CI; known CVEs block merge\n- [ ] `eslint-plugin-security` runs in frontend CI; HIGH findings block merge\n- [ ] `npm audit --audit-level=high` runs in frontend CI\n- [ ] `trivy` Docker image scan; CRITICAL CVEs block merge\n- [ ] SAST results exported to GitHub Security tab (SARIF format)\n- [ ] `/docs/fedramp/SAST-RESULTS.md` documents baseline findings and mitigations\n- [ ] Suppressed findings have documented justification\n\n## FedRAMP Controls\nSI-3 (Malicious Code Protection), SA-11 (Developer Security Testing), RA-5 (Vulnerability Monitoring)"
"Implement Structured Audit Logging","Phase 2 — Core Intelligence","phase-2,fedramp,fedramp-au,backend,priority-critical","## Description\nFedRAMP AU controls require all significant system events logged with enough detail for forensic reconstruction. No PII in logs.\n\n## Acceptance Criteria\n- [ ] Structured JSON logs via `structlog` or `python-json-logger` for all API endpoints\n- [ ] Each log entry includes: `timestamp`, `request_id`, `endpoint`, `status_code`, `duration_ms`, `session_id`, `ocr_engine_used`\n- [ ] Must NOT appear in logs: `image_bytes`, `base64_data`, raw Name & Address value\n- [ ] Logged events: request received, OCR started/completed, match completed, errors, session expiry\n- [ ] Log level configurable via `LOG_LEVEL` env var\n- [ ] Logs written to stdout only (Docker best practice)\n- [ ] Unit test: assert PII fields absent from log output\n\n## FedRAMP Controls\nAU-2 (Event Logging), AU-3 (Content of Audit Records), AU-9 (Protection of Audit Information)"
"EPIC 3 — Batch Processing & Review UI","Phase 3 — Batch & UI","epic,phase-3","## Goal\nReviewers can upload 200-300 labels at once, track progress in real time, and review results in a clean side-by-side interface.\n\n### Issues in this Epic\n- [ ] #3.1 Implement Batch Orchestrator\n- [ ] #3.2 Implement SSE Progress Streaming\n- [ ] #3.3 Build Single-Label Review UI\n- [ ] #3.4 Build Batch Upload & Progress UI\n- [ ] #3.5 Implement In-Memory Session Store & Export\n- [ ] #3.6 Implement Input Validation & Sanitization\n- [ ] #3.7 Implement Session Authentication"
"Implement Batch Orchestrator","Phase 3 — Batch & UI","phase-3,backend,priority-critical","## Description\nParallel processing of 200-300 labels using Python asyncio. Must maintain ≤5s per label average without crashing.\n\n## Acceptance Criteria\n- [ ] `backend/batch/orchestrator.py` — `start_batch(job_id, label_pairs[]) → AsyncIterator[Progress]`\n- [ ] `asyncio.gather` with configurable concurrency limit (default: 10 workers)\n- [ ] Per-label progress events: `{job_id, completed, total, latest: VerificationResult}`\n- [ ] Job state stored in-memory dict keyed by `job_id`\n- [ ] Completed jobs retained for session duration; cleared on app restart\n- [ ] Malformed images in batch produce error result without aborting the batch\n- [ ] Load test: 300 labels processed with ≤5s average, no worker crashes\n\n## FedRAMP Controls\nSI-12 (Information Management and Retention — ephemeral only)"
"Implement SSE Progress Streaming","Phase 3 — Batch & UI","phase-3,backend,frontend,priority-high","## Description\nServer-Sent Events for real-time progress updates during 300-label batch processing.\n\n## Acceptance Criteria\n- [ ] `GET /jobs/{job_id}/stream` returns `text/event-stream` response\n- [ ] Events: `progress` (every label complete), `complete` (batch done), `error` (label failed)\n- [ ] Frontend `EventSource` reconnects automatically if connection drops\n- [ ] Progress bar in UI updates per event: Processed N of 300 labels\n- [ ] Most recent 5 results shown as live feed\n- [ ] Stream closes cleanly when batch is complete\n\n## FedRAMP Controls\nSC-8 (Transmission Confidentiality)"
"Build Single-Label Review UI","Phase 3 — Batch & UI","phase-3,frontend,priority-critical","## Description\nPrimary reviewer workflow: upload one label + application data, see results side-by-side. Must work for a 73-year-old non-technical user.\n\n## Acceptance Criteria\n- [ ] Upload area: large drag-and-drop zone with click-to-browse fallback\n- [ ] Application data entry: labeled text fields for each of the 6 required fields (no free-text JSON)\n- [ ] Results panel: two columns — Label Says vs Application Says — per field\n- [ ] Status indicators: ✅ green (MATCH), ⚠️ yellow (PARTIAL), ❌ red (NO MATCH)\n- [ ] Confidence score shown as percentage bar per field\n- [ ] Government Warning displayed as its own section with exact-match indicator\n- [ ] Image quality warning banner if score < 40\n- [ ] Export CSV button at bottom of results\n- [ ] No hidden menus or tooltips required to understand the UI\n- [ ] Usability test: non-technical user completes verification in <2 minutes\n\n## FedRAMP Controls\nAC-3 (Access Enforcement)"
"Build Batch Upload & Progress UI","Phase 3 — Batch & UI","phase-3,frontend,priority-critical","## Description\nBulk workflow for 200-300 labels with real-time progress tracking.\n\n## Acceptance Criteria\n- [ ] Batch upload page: ZIP upload for images + CSV upload for application data\n- [ ] CSV format validated client-side before submit: show column mapping errors before upload starts\n- [ ] After submit: progress bar + counter (47 of 300 complete)\n- [ ] Live results feed: most recent 10 completed labels shown as they finish\n- [ ] On completion: summary card — total MATCH / PARTIAL / FAIL counts\n- [ ] Download Full Report button exports Excel with one row per label\n- [ ] Restart button clears session without page reload\n\n## FedRAMP Controls\nSI-10 (Information Input Validation — CSV column validation)"
"Implement In-Memory Session Store & Export","Phase 3 — Batch & UI","phase-3,backend,priority-high","## Description\nResults held in memory for session duration. No disk writes. Export to CSV/Excel for reviewer download.\n\n## Acceptance Criteria\n- [ ] `backend/store/session_store.py` — dict-backed store keyed by `session_id`\n- [ ] Sessions expire after 4 hours of inactivity (configurable via env var)\n- [ ] `GET /jobs/{job_id}/export?format=csv` returns RFC 4180-compliant CSV\n- [ ] `GET /jobs/{job_id}/export?format=xlsx` returns Excel with formatted headers and color-coded status cells\n- [ ] Export includes: label filename, each extracted field, each match status, confidence scores, overall status\n- [ ] Memory usage capped: 300-label batch ~600KB — well within bounds\n- [ ] Unit test: store → retrieve → export roundtrip\n\n## FedRAMP Controls\nSI-12 (Information Management and Retention), SC-28 (Protection of Information at Rest)"
"Implement Input Validation & Sanitization","Phase 3 — Batch & UI","phase-3,fedramp,fedramp-si,backend,security,priority-critical","## Description\nAll inputs entering the API must be validated and sanitized — bad inputs must never crash a worker.\n\n## Acceptance Criteria\n- [ ] Image uploads: validate MIME type server-side (not just extension); reject non-image content\n- [ ] Image size limit: 20MB per image; 500MB per batch ZIP\n- [ ] CSV application data: validate required column headers on ingest; reject unknown column names\n- [ ] All string fields: strip whitespace; max length enforced\n- [ ] No `eval()`, `exec()`, `subprocess` with user-controlled input anywhere in codebase\n- [ ] XSS prevented: all user data HTML-escaped in React\n- [ ] Pydantic models enforce types on all API request bodies\n- [ ] Fuzzing test: 20 malformed inputs; none crash the server\n\n## FedRAMP Controls\nSI-10 (Information Input Validation), SI-16 (Memory Protection)"
"Implement Session Authentication","Phase 3 — Batch & UI","phase-3,fedramp,fedramp-ac,fedramp-ia,backend,frontend,priority-high","## Description\nResults must not be accessible to unauthenticated users or other sessions. Session token model for PoC scope.\n\n## Acceptance Criteria\n- [ ] On first visit, browser receives signed `session_id` cookie (HttpOnly, Secure, SameSite=Strict)\n- [ ] All `/jobs/*` endpoints require session cookie; return 403 if absent or invalid\n- [ ] Session IDs are cryptographically random (`secrets.token_urlsafe(32)`)\n- [ ] Sessions expire server-side after 4 hours; cookie max-age matches\n- [ ] Results for `job_id` accessible only to the session that created them\n- [ ] No admin view that lists all sessions or all jobs\n- [ ] `/docs/fedramp/SESSION-MANAGEMENT.md` documents this control implementation\n\n## FedRAMP Controls\nAC-3 (Access Enforcement), IA-2 (Identification and Authentication), SC-23 (Session Authenticity)"
"EPIC 4 — Hardening & ATO Prep","Phase 4 — Hardening & ATO Prep","epic,phase-4","## Goal\nProduction-ready reliability, WCAG AA accessibility, and a complete FedRAMP documentation package ready for ISSO hand-off.\n\n### Issues in this Epic\n- [ ] #4.1 OpenCV Image Pre-Processing Pipeline\n- [ ] #4.2 Load Testing & Performance Validation\n- [ ] #4.3 Accessibility Audit & Remediation (WCAG AA)\n- [ ] #4.4 Comprehensive Error Handling & Graceful Degradation\n- [ ] #4.5 Complete FedRAMP Documentation Package\n- [ ] #4.6 Threat Model Documentation\n- [ ] #4.7 Final README & Deployment Guide"
"OpenCV Image Pre-Processing Pipeline","Phase 4 — Hardening & ATO Prep","phase-4,backend,ai-ml,priority-high","## Description\nImprove OCR accuracy on real-world label photos by pre-processing images before sending to OCR engine.\n\n## Acceptance Criteria\n- [ ] `backend/ocr/preprocessor.py` runs before OCR adapter: deskew → denoise → sharpen → contrast\n- [ ] OpenCV operations: `getRotationMatrix2D`, `fastNlMeansDenoisingColored`, `equalizeHist`\n- [ ] Pre-processing adds ≤0.5s to total processing time\n- [ ] Original image never modified — preprocessing works on a copy\n- [ ] A/B test: 20 real-world label samples — quality score improvement documented\n- [ ] Pre-processing skipped if image quality score already > 80\n\n## FedRAMP Controls\nSI-10 (Information Input Validation)"
"Load Testing & Performance Validation","Phase 4 — Hardening & ATO Prep","phase-4,testing,priority-critical","## Description\nSystem must demonstrably meet ≤5s per label requirement under realistic batch conditions.\n\n## Acceptance Criteria\n- [ ] Locust or pytest-benchmark test script in `/tests/load/`\n- [ ] Test scenario: 300 labels submitted in batch; measure per-label latency\n- [ ] P50 latency ≤ 5s, P95 ≤ 8s, P99 ≤ 12s — documented in results\n- [ ] Zero worker crashes or uncaught exceptions during 300-label run\n- [ ] Memory usage stays below 2GB during batch (monitored via `psutil`)\n- [ ] Test runs against both OCR paths: cloud API and Tesseract fallback\n- [ ] `/docs/LOAD-TEST-RESULTS.md` captures results, configuration, and environment details\n\n## FedRAMP Controls\nAU-14 (Session Audit), CP-10 (System Recovery and Reconstitution)"
"Accessibility Audit & Remediation (WCAG AA)","Phase 4 — Hardening & ATO Prep","phase-4,frontend,accessibility,priority-critical","## Description\nFederal applications require Section 508 (WCAG 2.1 AA). UI must also work for a 73-year-old non-technical user.\n\n## Acceptance Criteria\n- [ ] `axe-core` automated scan: zero WCAG AA violations on all 3 pages\n- [ ] Manual keyboard navigation: all functionality reachable without mouse\n- [ ] Tab order logical; focus indicator visible (min 3px outline)\n- [ ] All images have descriptive `alt` text\n- [ ] Color is never the only status indicator (icons + text used alongside colors)\n- [ ] Minimum font size 16px body, 14px secondary\n- [ ] All form inputs have associated `<label>` elements\n- [ ] Error messages announced via `aria-live` regions\n- [ ] Tested with NVDA or VoiceOver: upload, verify, and export flow completable\n- [ ] `/docs/ACCESSIBILITY-REPORT.md` documents audit results\n\n## FedRAMP Controls\nPL-8 (Security and Privacy Architectures)"
"Comprehensive Error Handling & Graceful Degradation","Phase 4 — Hardening & ATO Prep","phase-4,backend,frontend,priority-high","## Description\nSystem must never show a blank screen, crash silently, or leave a reviewer without actionable information.\n\n## Acceptance Criteria\n- [ ] Backend: global FastAPI exception handler returns `{error, message, request_id}` — never raw stack traces\n- [ ] OCR API timeout: returns result with `ocr_engine: tesseract` and adjusted confidence score\n- [ ] Image completely unreadable: returns `status: ERROR` with helpful message — does not crash\n- [ ] Batch item failure: failed label gets error result; remaining labels continue\n- [ ] Frontend: global React error boundary shows retry option\n- [ ] Network error during SSE stream: UI shows Reconnecting... and EventSource reconnects\n- [ ] All error messages use plain language — no stack traces shown to users\n\n## FedRAMP Controls\nSI-17 (Fail-Safe Procedures), IR-8 (Incident Response Plan alignment)"
"Complete FedRAMP Documentation Package","Phase 4 — Hardening & ATO Prep","phase-4,fedramp,documentation,priority-critical","## Description\nAssemble complete documentation package for hand-off to TTB ISSO to enable formal ATO pursuit.\n\n## Acceptance Criteria\n- [ ] `/docs/fedramp/SSP-final.md` — complete with all control implementations documented\n- [ ] `/docs/fedramp/POAM.md` — known gaps with remediation timeline\n- [ ] `/docs/fedramp/DATA-FLOW-final.md` — finalized with actual endpoint URLs and encryption posture\n- [ ] `/docs/fedramp/SAST-RESULTS.md` — final scan results with all findings addressed\n- [ ] `/docs/fedramp/CONTROL-MATRIX.xlsx` — NIST 800-53r5 Moderate baseline; each control marked\n- [ ] `/docs/fedramp/INCIDENT-RESPONSE-PLAN.md` — procedures for OCR failures and availability incidents\n- [ ] `/docs/fedramp/SYSTEM-BOUNDARY.png` — finalized architecture diagram\n- [ ] Peer-reviewed by at least one team member not involved in implementation\n\n## FedRAMP Controls\nPL-2 (System Security Plan), CA-5 (Plan of Action and Milestones), CA-7 (Continuous Monitoring)"
"Threat Model Documentation","Phase 4 — Hardening & ATO Prep","phase-4,fedramp,fedramp-ra,security,priority-high","## Description\nFedRAMP RA controls require a documented threat model using STRIDE methodology.\n\n## Acceptance Criteria\n- [ ] `/docs/fedramp/THREAT-MODEL.md` created using STRIDE framework\n- [ ] Threats analyzed: Spoofing (session), Tampering (image), Repudiation (audit logs), Info Disclosure (OCR data), DoS (batch load), Elevation of Privilege (API auth)\n- [ ] Each threat mapped to: likelihood (L/M/H), impact (L/M/H), mitigating control, residual risk\n- [ ] Top 3 risks identified with owner and mitigation timeline\n- [ ] Data flow diagram annotated with trust boundaries\n- [ ] Review sign-off by project lead\n\n## FedRAMP Controls\nRA-3 (Risk Assessment), RA-5 (Vulnerability Monitoring and Scanning)"
"Final README & Deployment Guide","Phase 4 — Hardening & ATO Prep","phase-4,documentation,devops,priority-high","## Description\nA system admin with no prior knowledge must be able to install and run the app using only the README.\n\n## Acceptance Criteria\n- [ ] `README.md` covers: prerequisites, one-command setup, env var reference, how to run tests, how to access the app\n- [ ] `/docs/DEPLOYMENT-GUIDE.md` covers: network requirements (firewall rules), Docker install, air-gapped mode, updating the application\n- [ ] Firewall allowlist documented: outbound hostname for Claude Vision API with port and protocol\n- [ ] Air-gapped mode instructions: set `OCR_MODE=local` to force Tesseract, skip API key requirement\n- [ ] Tested: team member not involved in dev follows guide and successfully runs app from scratch\n\n## FedRAMP Controls\nCM-6 (Configuration Settings), CM-7 (Least Functionality)"
